Bill Date,Profit
22/07/2020,849.2400000000001
22/08/2020,14277.399
22/09/2020,6675.235000000001
22/10/2020,14544.078
22/11/2020,19547.428
23/01/2020,2446.3900000000003
23/02/2020,9858.66
23/05/2020,4465.950000000001
23/06/2020,421.30999999999995
23/07/2020,1871.28
23/08/2020,3913.48
23/09/2020,13062.142
23/10/2020,14911.942
23/11/2020,42107.518500000006
24/01/2020,19223.173
24/02/2020,15551.2125
24/05/2020,-461.8399999999999
24/06/2020,7148.965
24/07/2020,6266.46
24/08/2020,3407.0
24/09/2020,10316.119
24/10/2020,27672.2865
24/11/2020,3321.116
25/01/2020,6156.254
25/02/2020,9047.3475
25/05/2020,2046.45
25/06/2020,7841.47
25/07/2020,4162.8225
25/08/2020,833.56
25/09/2020,13432.821
25/10/2020,11636.6415
25/11/2020,20678.005
26/01/2020,41349.806
26/02/2020,548.22
26/05/2020,1225.6699999999998
26/06/2020,7457.55
26/07/2020,2438.72
26/08/2020,978.94
26/09/2020,1212.6925
26/10/2020,12790.169
26/11/2020,13915.1885
27/01/2020,29141.81
27/02/2020,2842.0699999999997
27/05/2020,429.98
27/06/2020,6562.4039999999995
27/07/2020,8867.626
27/08/2020,1065.4099999999999
27/09/2020,14088.095000000001
27/10/2020,9877.541000000001
27/11/2020,9901.587
28/01/2020,30359.3425
28/02/2020,3142.55
28/05/2020,85.60000000000002
28/06/2020,3073.776
28/07/2020,6442.860000000001
28/08/2020,4358.717000000001
28/09/2020,12713.3985
28/10/2020,29927.965500000002
28/11/2020,25865.2025
29/01/2020,15027.8075
29/02/2020,15648.945
29/05/2020,8852.485
29/06/2020,2271.6000000000004
29/07/2020,2260.042
29/08/2020,19126.108
29/09/2020,8244.6405
29/10/2020,28559.8385
29/11/2020,16124.175
30/01/2020,18947.092000000004
30/05/2020,62410.813
30/06/2020,7194.13
30/07/2020,421.30999999999995
30/08/2020,12356.096000000001
30/09/2020,276.33000000000015
30/10/2020,12043.113000000001
30/11/2020,32430.7485
31/01/2020,20169.018500000002
31/05/2020,10487.58
31/07/2020,21234.906
31/10/2020,8455.344
